strategy,ticker,name,buy_date,sell_date,hold_bdays,buy_px,qty,sell_px,pl_recorded,pl_gross_1unit,ret_pct_1unit,asset_at_entry,strategy_budget,notional_cap_pos_ratio,notional_1unit,notional_1unit_over_cap_x,N_atr14,N_pct_of_price,N_wilder20,turtle_unit_qty_theory,lot_in_turtle_units,MFE_won,MFE_N,MFE_pct,MAE_won,MAE_N,MAE_pct,mae_hit_2N,reach_0.5N,days_to_0.5N,reach_1N,days_to_1N,reach_1.5N,days_to_1.5N,reach_2N,days_to_2N,MFE20_N,MFE20_pct,bars_after_entry_avail,pess_units,pess_add_days,pess_unit_px,pess_avg_px,pess_final_stop,pess_exit_px,pess_exit_reason,pess_exit_day,pess_pnl,pess_pnl_delta_vs_1unit,pess_notional,pess_notional_pct_asset,pess_notional_over_budget_x,pess_risk_won_at_final_stop,pess_risk_pct_asset,pess_pnl_pct_asset,opt_units,opt_add_days,opt_unit_px,opt_avg_px,opt_final_stop,opt_exit_px,opt_exit_reason,opt_exit_day,opt_pnl,opt_pnl_delta_vs_1unit,opt_notional,opt_notional_pct_asset,opt_notional_over_budget_x,opt_risk_won_at_final_stop,opt_risk_pct_asset,opt_pnl_pct_asset,pess_1N_units,pess_1N_add_days,pess_1N_unit_px,pess_1N_avg_px,pess_1N_final_stop,pess_1N_exit_px,pess_1N_exit_reason,pess_1N_exit_day,pess_1N_pnl,pess_1N_pnl_delta_vs_1unit,pess_1N_notional,pess_1N_notional_pct_asset,pess_1N_notional_over_budget_x,pess_1N_risk_won_at_final_stop,pess_1N_risk_pct_asset,pess_1N_pnl_pct_asset,pess_budget_units,pess_budget_add_days,pess_budget_unit_px,pess_budget_avg_px,pess_budget_final_stop,pess_budget_exit_px,pess_budget_exit_reason,pess_budget_exit_day,pess_budget_pnl,pess_budget_pnl_delta_vs_1unit,pess_budget_notional,pess_budget_notional_pct_asset,pess_budget_notional_over_budget_x,pess_budget_risk_won_at_final_stop,pess_budget_risk_pct_asset,pess_budget_pnl_pct_asset
kojiro,089860,롯데렌탈,2026-07-21,2026-07-29,6,37200.0,1,35300.0,-1900.0,-1900.0,-5.1075,1197043.0,359112.9,59612.7414,37200.0,0.624,1707.1429,4.5891,1415.9644,1,0.9508,4200.0,2.4603,11.2903,2600.0,1.523,6.9892,False,True,1,True,1,True,1,True,3,5.682,26.0753,20,4,1|1|1,37200|38054|38907|39761,38480,36346,35300.0,actual_exit(stop_touched_same_day),6,-12721.4286,-10821.4286,153921.4286,12.8585,0.4286,8535.7143,0.7131,-1.0627,4,1|1|1,37200|38054|38907|39761,38480,36346,35300.0,actual_exit(stop_touched_same_day),6,-12721.4286,-10821.4286,153921.4286,12.8585,0.4286,8535.7143,0.7131,-1.0627,3,1|3,37200|38907|40614,38907,37200,35300.0,actual_exit(stop_touched_same_day),6,-10821.4286,-8921.4286,116721.4286,9.7508,0.325,5121.4286,0.4278,-0.904,4,1|1|1,37200|38054|38907|39761,38480,36346,35300.0,actual_exit(stop_touched_same_day),6,-12721.4286,-10821.4286,153921.4286,12.8585,0.4286,8535.7143,0.7131,-1.0627
donchian_swing,096770,SK이노베이션,2026-07-20,2026-07-29,7,117300.0,1,106800.0,-10500.0,-10500.0,-8.9514,1208091.0,181213.65,36242.73,117300.0,3.2365,7910.7143,6.744,7692.2346,0,8.7308,18500.0,2.3386,15.7715,11100.0,1.4032,9.4629,False,True,0,True,3,True,3,True,4,2.3386,15.7715,20,4,0|3|3,117300|121255|125211|129166,123233,113345,113344.6429,pyr_stop,6,-39553.5714,-29053.5714,492932.1429,40.8026,2.7202,39553.5714,3.2741,-3.2741,4,0|3|3,117300|121255|125211|129166,123233,113345,113344.6429,pyr_stop,6,-39553.5714,-29053.5714,492932.1429,40.8026,2.7202,39553.5714,3.2741,-3.2741,3,3|4,117300|125211|133121,125211,117300,117300.0,pyr_stop,5,-23732.1429,-13232.1429,375632.1429,31.093,2.0729,23732.1429,1.9644,-1.9644,1,,117300,117300,101479,106800.0,actual_exit,7,-10500.0,0.0,117300.0,9.7095,0.6473,15821.4286,1.3096,-0.8691
kojiro,377450,리파인,2026-07-27,2026-07-30,3,11850.0,3,11870.0,30.0,60.0,0.1688,1179827.0,353948.1,58755.3846,35550.0,0.6051,715.0,6.0338,597.5012,2,1.212,290.0,0.4056,2.4473,1530.0,2.1399,12.9114,True,False,,False,,False,,False,,7.2028,43.4599,20,1,,11850,11850,10420,10420.0,pyr_stop,2,-4290.0,-4350.0,35550.0,3.0132,0.1004,4290.0,0.3636,-0.3636,1,,11850,11850,10420,10420.0,pyr_stop,2,-4290.0,-4350.0,35550.0,3.0132,0.1004,4290.0,0.3636,-0.3636,1,,11850,11850,10420,10420.0,pyr_stop,2,-4290.0,-4350.0,35550.0,3.0132,0.1004,4290.0,0.3636,-0.3636,1,,11850,11850,10420,10420.0,pyr_stop,2,-4290.0,-4350.0,35550.0,3.0132,0.1004,4290.0,0.3636,-0.3636
donchian_swing,068270,셀트리온,2026-07-31,2026-08-03,1,186200.0,1,184600.0,-1600.0,-1600.0,-0.8593,1155084.0,173262.6,34652.52,186200.0,5.3733,7550.0,4.0548,8365.5048,0,8.7151,3100.0,0.4106,1.6649,5900.0,0.7815,3.1686,False,False,,False,,False,,False,,3.4172,13.8561,20,1,,186200,186200,171100,184600.0,actual_exit,1,-1600.0,0.0,186200.0,16.12,1.0747,15100.0,1.3073,-0.1385,1,,186200,186200,171100,184600.0,actual_exit,1,-1600.0,0.0,186200.0,16.12,1.0747,15100.0,1.3073,-0.1385,1,,186200,186200,171100,184600.0,actual_exit,1,-1600.0,0.0,186200.0,16.12,1.0747,15100.0,1.3073,-0.1385,1,,186200,186200,171100,184600.0,actual_exit,1,-1600.0,0.0,186200.0,16.12,1.0747,15100.0,1.3073,-0.1385
donchian_swing,032640,LG유플러스,2026-07-31,2026-08-03,1,15090.0,2,14680.0,-820.0,-820.0,-2.717,1155084.0,173262.6,34652.52,30180.0,0.8709,504.2857,3.3419,618.6331,1,1.1642,330.0,0.6544,2.1869,440.0,0.8725,2.9158,False,True,0,False,,False,,False,,1.2691,4.2412,20,2,0,15090|15342,15216,14334,14680.0,actual_exit,1,-2144.2857,-1324.2857,60864.2857,5.2693,0.3513,3530.0,0.3056,-0.1856,2,0,15090|15342,15216,14334,14680.0,actual_exit,1,-2144.2857,-1324.2857,60864.2857,5.2693,0.3513,3530.0,0.3056,-0.1856,1,,15090,15090,14081,14680.0,actual_exit,1,-820.0,0.0,30180.0,2.6128,0.1742,2017.1429,0.1746,-0.071,2,0,15090|15342,15216,14334,14680.0,actual_exit,1,-2144.2857,-1324.2857,60864.2857,5.2693,0.3513,3530.0,0.3056,-0.1856
kojiro,002810,삼영무역,2026-07-29,2026-08-05,5,23400.0,2,21550.0,-3700.0,-3700.0,-7.906,1144956.0,343486.8,57018.8088,46800.0,0.8208,907.5,3.8782,864.5652,1,1.0568,400.0,0.4408,1.7094,2000.0,2.2039,8.547,True,False,,False,,False,,False,,0.4408,1.7094,6,1,,23400,23400,21585,21585.0,pyr_stop,4,-3630.0,70.0,46800.0,4.0875,0.1362,3630.0,0.317,-0.317,1,,23400,23400,21585,21585.0,pyr_stop,4,-3630.0,70.0,46800.0,4.0875,0.1362,3630.0,0.317,-0.317,1,,23400,23400,21585,21585.0,pyr_stop,4,-3630.0,70.0,46800.0,4.0875,0.1362,3630.0,0.317,-0.317,1,,23400,23400,21585,21585.0,pyr_stop,4,-3630.0,70.0,46800.0,4.0875,0.1362,3630.0,0.317,-0.317
donchian_swing,073240,금호타이어,2026-08-07,2026-08-10,1,8090.0,1,7690.0,-400.0,-400.0,-4.9444,1176738.0,176510.7,35302.14,8090.0,0.2292,690.0,8.529,678.5657,1,0.7818,420.0,0.6087,5.1916,900.0,1.3043,11.1248,False,True,0,False,,False,,False,,1.1014,9.3943,17,2,0,8090|8435,8262,7055,7690.0,actual_exit,1,-1145.0,-745.0,16525.0,1.4043,0.0936,2415.0,0.2052,-0.0973,2,0,8090|8435,8262,7055,7690.0,actual_exit,1,-1145.0,-745.0,16525.0,1.4043,0.0936,2415.0,0.2052,-0.0973,1,,8090,8090,6710,7690.0,actual_exit,1,-400.0,0.0,8090.0,0.6875,0.0458,1380.0,0.1173,-0.034,2,0,8090|8435,8262,7055,7690.0,actual_exit,1,-1145.0,-745.0,16525.0,1.4043,0.0936,2415.0,0.2052,-0.0973
donchian_swing,103140,풍산,2026-08-07,2026-08-10,1,84600.0,1,84500.0,-100.0,-100.0,-0.1182,1176738.0,176510.7,35302.14,84600.0,2.3965,5485.7143,6.4843,5149.8708,0,6.2157,2900.0,0.5286,3.4279,2400.0,0.4375,2.8369,False,True,1,False,,False,,False,,1.1667,7.565,17,2,1,84600|87343,85971,76371,84500.0,actual_exit,1,-2942.8571,-2842.8571,171942.8571,14.6118,0.9741,19200.0,1.6316,-0.2501,2,1,84600|87343,85971,76371,84500.0,actual_exit,1,-2942.8571,-2842.8571,171942.8571,14.6118,0.9741,19200.0,1.6316,-0.2501,1,,84600,84600,73629,84500.0,actual_exit,1,-100.0,0.0,84600.0,7.1894,0.4793,10971.4286,0.9324,-0.0085,2,1,84600|87343,85971,76371,84500.0,actual_exit,1,-2942.8571,-2842.8571,171942.8571,14.6118,0.9741,19200.0,1.6316,-0.2501
kojiro,236200,슈프리마,2026-07-22,2026-08-12,15,48200.0,1,57800.0,9600.0,9600.0,19.917,1185458.0,355637.4,59035.8084,48200.0,0.8165,2407.1429,4.9941,2425.6598,0,1.3537,16800.0,6.9792,34.8548,3800.0,1.5786,7.8838,False,True,7,True,7,True,8,True,8,6.9792,34.8548,20,4,7|7|8,48200|49404|50607|51811,50005,46996,57800.0,actual_exit,15,31178.5714,21578.5714,200021.4286,16.8729,0.5624,12035.7143,1.0153,2.6301,4,7|7|8,48200|49404|50607|51811,50005,46996,57800.0,actual_exit,15,31178.5714,21578.5714,200021.4286,16.8729,0.5624,12035.7143,1.0153,2.6301,4,7|8|10,48200|50607|53014|55421,51811,50607,57800.0,actual_exit,15,23957.1429,14357.1429,207242.8571,17.4821,0.5827,4814.2857,0.4061,2.0209,4,7|7|8,48200|49404|50607|51811,50005,46996,57800.0,actual_exit,15,31178.5714,21578.5714,200021.4286,16.8729,0.5624,12035.7143,1.0153,2.6301
donchian_swing,028670,팬오션,2026-08-10,2026-08-12,2,5970.0,2,5910.0,-120.0,-120.0,-1.005,1168336.0,175250.4,35050.08,11940.0,0.3407,357.1429,5.9823,344.2672,2,0.8152,60.0,0.168,1.005,290.0,0.812,4.8576,False,False,,False,,False,,False,,1.568,9.3802,16,1,,5970,5970,5256,5910.0,actual_exit,2,-120.0,0.0,11940.0,1.022,0.0681,1428.5714,0.1223,-0.0103,1,,5970,5970,5256,5910.0,actual_exit,2,-120.0,0.0,11940.0,1.022,0.0681,1428.5714,0.1223,-0.0103,1,,5970,5970,5256,5910.0,actual_exit,2,-120.0,0.0,11940.0,1.022,0.0681,1428.5714,0.1223,-0.0103,1,,5970,5970,5256,5910.0,actual_exit,2,-120.0,0.0,11940.0,1.022,0.0681,1428.5714,0.1223,-0.0103
donchian_swing,001450,현대해상,2026-08-12,2026-08-14,2,42650.0,1,42750.0,100.0,100.0,0.2345,1150429.0,172564.35,34512.87,42650.0,1.2358,2596.4286,6.0878,2367.752,0,3.0092,3150.0,1.2132,7.3857,1150.0,0.4429,2.6964,False,True,0,True,2,False,,False,,4.2558,25.9086,14,3,0|2,42650|43948|45246,43948,40054,42750.0,actual_exit,2,-3594.6429,-3694.6429,131844.6429,11.4605,0.764,11683.9286,1.0156,-0.3125,3,0|2,42650|43948|45246,43948,40054,42750.0,actual_exit,2,-3594.6429,-3694.6429,131844.6429,11.4605,0.764,11683.9286,1.0156,-0.3125,2,2,42650|45246,43948,40054,42750.0,actual_exit,2,-2396.4286,-2496.4286,87896.4286,7.6403,0.5094,7789.2857,0.6771,-0.2083,3,0|2,42650|43948|45246,43948,40054,42750.0,actual_exit,2,-3594.6429,-3694.6429,131844.6429,11.4605,0.764,11683.9286,1.0156,-0.3125
kojiro,053800,안랩,2026-08-12,2026-08-14,2,64100.0,1,59800.0,-4300.0,-4300.0,-6.7083,1150429.0,345128.7,57291.3642,64100.0,1.1188,2328.5714,3.6327,2249.5352,0,1.3494,400.0,0.1718,0.624,5400.0,2.319,8.4243,True,False,,False,,False,,False,,0.1718,0.624,14,1,,64100,64100,59443,59442.8571,pyr_stop,1,-4657.1429,-357.1429,64100.0,5.5718,0.1857,4657.1429,0.4048,-0.4048,1,,64100,64100,59443,59442.8571,pyr_stop,1,-4657.1429,-357.1429,64100.0,5.5718,0.1857,4657.1429,0.4048,-0.4048,1,,64100,64100,59443,59442.8571,pyr_stop,1,-4657.1429,-357.1429,64100.0,5.5718,0.1857,4657.1429,0.4048,-0.4048,1,,64100,64100,59443,59442.8571,pyr_stop,1,-4657.1429,-357.1429,64100.0,5.5718,0.1857,4657.1429,0.4048,-0.4048
donchian_swing,009420,한올바이오파마,2026-08-14,2026-08-18,1,60900.0,1,61500.0,600.0,600.0,0.9852,1154509.0,173176.35,34635.27,60900.0,1.7583,4464.2857,7.3305,4786.0349,0,5.1558,2100.0,0.4704,3.4483,3050.0,0.6832,5.0082,False,False,,False,,False,,False,,1.12,8.2102,12,1,,60900,60900,51971,61500.0,actual_exit,1,600.0,0.0,60900.0,5.275,0.3517,8928.5714,0.7734,0.052,1,,60900,60900,51971,61500.0,actual_exit,1,600.0,0.0,60900.0,5.275,0.3517,8928.5714,0.7734,0.052,1,,60900,60900,51971,61500.0,actual_exit,1,600.0,0.0,60900.0,5.275,0.3517,8928.5714,0.7734,0.052,1,,60900,60900,51971,61500.0,actual_exit,1,600.0,0.0,60900.0,5.275,0.3517,8928.5714,0.7734,0.052
kojiro,111770,영원무역,2026-07-21,2026-08-18,19,86800.0,1,83000.0,-3800.0,-3800.0,-4.3779,1197043.0,359112.9,59612.7414,86800.0,1.4561,5807.1429,6.6903,5165.6805,0,3.2342,8200.0,1.4121,9.447,7500.0,1.2915,8.6406,False,True,4,True,12,False,,False,,1.4121,9.447,20,3,4|12,86800|89704|92607,89704,80993,83000.0,actual_exit(stop_touched_same_day),19,-20110.7143,-16310.7143,269110.7143,22.4813,0.7494,26132.1429,2.1831,-1.68,3,4|12,86800|89704|92607,89704,80993,83000.0,actual_exit(stop_touched_same_day),19,-20110.7143,-16310.7143,269110.7143,22.4813,0.7494,26132.1429,2.1831,-1.68,2,12,86800|92607,89704,80993,83000.0,actual_exit(stop_touched_same_day),19,-13407.1429,-9607.1429,179407.1429,14.9875,0.4996,17421.4286,1.4554,-1.12,3,4|12,86800|89704|92607,89704,80993,83000.0,actual_exit(stop_touched_same_day),19,-20110.7143,-16310.7143,269110.7143,22.4813,0.7494,26132.1429,2.1831,-1.68
kojiro,051905,LG생활건강우,2026-08-06,2026-08-18,7,110900.0,1,107100.0,-3800.0,-3800.0,-3.4265,1173238.0,351971.4,58427.2524,110900.0,1.8981,5021.4286,4.5279,4362.6944,0,2.8533,7500.0,1.4936,6.7628,5200.0,1.0356,4.6889,False,True,0,True,0,False,,False,,1.4936,6.7628,18,3,0|0,110900|113411|115921,113411,105879,107100.0,actual_exit(stop_touched_same_day),7,-18932.1429,-15132.1429,340232.1429,28.9994,0.9666,22596.4286,1.926,-1.6137,3,0|0,110900|113411|115921,113411,105879,107100.0,actual_exit(stop_touched_same_day),7,-18932.1429,-15132.1429,340232.1429,28.9994,0.9666,22596.4286,1.926,-1.6137,2,0,110900|115921,113411,105879,107100.0,actual_exit(stop_touched_same_day),7,-12621.4286,-8821.4286,226821.4286,19.3329,0.6444,15064.2857,1.284,-1.0758,3,0|0,110900|113411|115921,113411,105879,107100.0,actual_exit(stop_touched_same_day),7,-18932.1429,-15132.1429,340232.1429,28.9994,0.9666,22596.4286,1.926,-1.6137
