date,time,ticker,name,fill,qty,err,krx_open,prev_close,prev_range,k,offset,t_open,t_prevc,bp_vs_open,bp_vs_prevc,gap_bp,fill_vs_krxopen_bp,day_low,day_high,day_close,fill_below_open
2026-06-08,09:34:27,035420,NAVER,255000.0,1,,239500,255500,21500,0.5319,11434,250934,266934,162.0,-447.1,-626.2,647.2,238500,294000,279000,0
2026-06-10,09:31:56,000250,삼천당제약,261000.0,1,,240500,242500,23500,0.6455,15170,255670,257670,208.5,129.2,-82.5,852.4,237000,270500,258500,0
2026-06-12,09:00:20,066570,LG전자,236500.0,1,,236500,226000,20500,0.5022,10295,246795,236295,-417.1,8.7,464.6,0.0,223000,247500,225500,0
2026-06-15,09:00:30,005490,POSCO홀딩스,396500.0,1,,396000,377000,16000,0.6118,9788,405788,386788,-228.9,251.1,504.0,12.6,388000,398000,395000,0
2026-06-15,09:01:23,016360,삼성증권,123100.0,1,,123600,118800,4400,0.4908,2159,125759,120959,-211.4,177.0,404.0,-40.5,120900,127900,122500,1
2026-06-16,09:00:16,034020,두산에너빌리티,104800.0,2,,105100,99800,3600,0.4984,1794,106894,101594,-195.9,315.6,531.1,-28.5,101800,105500,103300,1
2026-06-16,09:02:15,064350,현대로템,225500.0,1,,221000,213000,15000,0.5632,8447,229447,221447,-172.0,183.0,375.6,203.6,218500,240000,226500,0
2026-06-17,10:05:54,095610,테스,173600.0,1,,166800,169200,13800,0.6205,8562,175362,177762,-100.5,-234.1,-141.8,407.7,165000,177900,169400,0
2026-06-17,14:03:23,196170,알테오젠,366500.0,1,,365000,352500,19500,0.5134,10012,375012,362512,-227.0,110.0,354.6,41.1,348500,378000,373000,0
2026-06-19,09:04:55,010120,LS ELECTRIC,268000.0,1,,254000,242000,24000,0.4732,11356,265356,253356,99.6,578.0,495.9,551.2,244000,276500,259000,0
2026-06-23,09:00:18,010120,LS ELECTRIC,249000.0,1,,251000,245000,14000,0.4858,6800,257800,251800,-341.3,-111.2,244.9,-79.7,230500,266500,232500,1
2026-06-23,09:00:31,105560,KB금융,159500.0,1,,157400,157000,3500,0.5628,1969,159369,158969,8.2,33.4,25.5,133.4,151400,163800,153700,0
2026-06-25,12:08:48,003490,대한항공,29350.0,7,,28100,27350,1750,0.595,1041,29141,28391,71.7,337.8,274.2,444.8,28050,29600,29100,0
2026-06-29,09:14:34,247540,에코프로비엠,142500.0,1,,133000,133700,14300,0.5258,7518,140518,141218,141.0,90.8,-52.4,714.3,132400,156500,154500,0
2026-07-01,09:00:25,247540,에코프로비엠,136400.0,1,,134300,142500,12100,0.481,5820,140120,148320,-265.5,-803.7,-575.4,156.4,129500,142500,132700,0
2026-07-02,10:20:58,033780,KT&G,171900.0,1,,169000,167100,6200,0.5744,3561,172561,170661,-38.3,72.6,113.7,171.6,165300,175600,173000,0
2026-07-02,10:37:16,267250,HD현대,216500.0,1,,209000,210000,11200,0.5194,5817,214817,215817,78.3,31.6,-47.6,358.9,195300,217500,207500,0
2026-07-08,09:18:30,066570,LG전자,197500.0,1,,187400,189100,14100,0.5376,7580,194980,196680,129.2,41.7,-89.9,539.0,186400,206000,195800,0
2026-07-08,10:02:12,105560,KB금융,176300.0,1,,176200,173200,8400,0.6167,5180,181380,178380,-280.1,-116.6,173.2,5.7,169200,176600,171000,0
2026-07-09,09:46:16,247540,에코프로비엠,117700.0,1,,113300,112600,7900,0.5306,4191,117491,116791,17.8,77.8,62.2,388.3,109400,117900,111500,0
