date,time,ticker,name,fill,qty,k,prev_range,offset,krx_open,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_minus_krxopen_bp,cap_minus_prevc_bp,viol_open,viol_prevc,gap_bp,stub
2026-04-27,10:56:33,090710,휴림로봇,14065.0,3,0.6054,2740,2155,13430,13250,15585,15405,-975.3,-869.8,11910.0,-1131.8,-1011.3,1,1,135.8,0
2026-04-28,11:11:00,001780,알루코,3100.0,33,0.5946,155,119,2800,2650,2919,2769,620.1,1195.4,2981.0,646.4,1249.1,0,0,566.0,0
2026-04-29,13:17:48,027360,아주IB투자,17460.0,14,0.5117,1840,1223,15040,18700,16263,19923,736.0,-1236.3,16237.0,795.9,-1317.1,0,1,-1957.2,0
2026-04-29,14:00:04,147830,제룡산업,11230.0,22,0.5383,1650,1154,10000,10060,11154,11214,68.1,14.3,10076.0,76.0,15.9,0,0,-59.6,0
2026-04-29,14:35:53,010170,대한광통신,15080.0,14,0.462,1580,947,14500,15090,15447,16037,-237.6,-596.7,14133.0,-253.1,-634.2,1,1,-391.0,0
2026-04-30,09:20:16,025860,남해화학,10070.0,22,0.6176,310,248,9590,9440,9838,9688,235.8,394.3,9822.0,241.9,404.7,0,0,158.9,0
2026-04-30,09:21:39,147830,제룡산업,11270.0,20,0.537,2420,1688,11180,11180,12868,12868,-1241.8,-1241.8,9582.0,-1429.3,-1429.3,1,1,0.0,0
2026-05-04,09:05:27,025860,남해화학,12390.0,17,0.5971,2720,2111,11760,11740,13871,13851,-1067.7,-1054.8,10279.0,-1259.4,-1244.5,1,1,17.0,0
2026-05-04,09:05:42,199820,제일일렉트릭,19400.0,11,0.5945,3800,2935,18730,17260,21665,20195,-1045.5,-393.7,16465.0,-1209.3,-460.6,1,1,851.7,0
2026-05-04,09:07:54,010170,대한광통신,15840.0,13,0.4544,1360,802,15490,15150,16292,15952,-277.4,-70.2,15038.0,-291.8,-73.9,1,1,224.4,0
2026-05-06,09:07:44,037030,파워넷,8220.0,19,0.4536,1620,954,7800,7440,8754,8394,-610.0,-207.3,7266.0,-684.6,-233.9,1,1,483.9,0
2026-05-06,14:48:41,203650,드림시큐리티,3455.0,48,0.546,235,166,2915,2890,3081,3056,1213.9,1305.6,3289.0,1283.0,1380.6,0,0,86.5,0
2026-05-07,09:19:46,000100,유한양행,88700.0,1,0.396,2300,1183,88700,87800,89883,88983,-131.6,-31.8,87517.0,-133.4,-32.2,1,1,102.5,0
2026-05-07,10:21:52,203650,드림시큐리티,4320.0,38,0.589,1070,819,3750,3755,4569,4574,-545.0,-555.3,3501.0,-664.0,-676.4,1,1,-13.3,0
2026-05-07,12:52:40,203650,드림시큐리티,4320.0,38,0.589,1070,819,3750,3755,4569,4574,-545.0,-555.3,3501.0,-664.0,-676.4,1,1,-13.3,0
2026-05-12,08:05:47,005930,삼성전자,294000.0,1,0.5491,8500,6067,290000,285500,296067,291567,-69.8,83.4,287933.0,-71.3,85.2,1,0,157.6,0
2026-05-12,10:01:24,000100,유한양행,85400.0,1,0.3451,2000,897,84900,84600,85797,85497,-46.3,-11.3,84503.0,-46.8,-11.5,1,1,35.5,0
