date,time,ticker,name,fill,offset,k,krx_open,day_low,day_high,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_below_krxopen,cap_below_daylow,cap_vs_daylow_bp,gap_bp,early
2026-04-30,09:21:39,147830,제룡산업,11270.0,1688,0.537,11180,10960,13400,11180,12868,12868,-1241.8,-1241.8,9582.0,1,1,-1257.3,0.0,0
2026-05-04,09:05:27,025860,남해화학,12390.0,2111,0.5971,11760,11320,12820,11740,13871,13851,-1067.7,-1054.8,10279.0,1,1,-919.6,17.0,0
2026-05-04,09:05:42,199820,제일일렉트릭,19400.0,2935,0.5945,18730,18520,22300,17260,21665,20195,-1045.5,-393.7,16465.0,1,1,-1109.6,851.7,0
2026-05-04,09:07:54,010170,대한광통신,15840.0,802,0.4544,15490,15490,18200,15150,16292,15952,-277.4,-70.2,15038.0,1,1,-291.8,224.4,0
2026-05-06,09:07:44,037030,파워넷,8220.0,954,0.4536,7800,7660,9670,7440,8754,8394,-610.0,-207.3,7266.0,1,1,-514.4,483.9,0
2026-05-06,14:48:41,203650,드림시큐리티,3455.0,166,0.546,2915,2685,3755,2890,3081,3056,1213.9,1305.6,3289.0,0,0,2249.5,86.5,0
2026-05-07,09:19:46,000100,유한양행,88700.0,1183,0.396,88700,87800,89800,87800,89883,88983,-131.6,-31.8,87517.0,1,1,-32.2,102.5,0
2026-05-07,10:21:52,203650,드림시큐리티,4320.0,819,0.589,3750,3725,4675,3755,4569,4574,-545.0,-555.3,3501.0,1,1,-601.3,-13.3,0
2026-05-07,12:52:40,203650,드림시큐리티,4320.0,819,0.589,3750,3725,4675,3755,4569,4574,-545.0,-555.3,3501.0,1,1,-601.3,-13.3,0
2026-05-12,08:05:47,005930,삼성전자,294000.0,6067,0.5491,290000,266000,291500,285500,296067,291567,-69.8,83.4,287933.0,1,0,824.5,157.6,0
2026-05-12,10:01:24,000100,유한양행,85400.0,897,0.3451,84900,82400,86200,84600,85797,85497,-46.3,-11.3,84503.0,1,0,255.2,35.5,0
2026-05-13,13:12:42,005930,삼성전자,284250.0,19562,0.5901,264000,262000,285500,279000,283562,298562,24.3,-479.4,264688.0,0,0,102.6,-537.6,0
2026-05-15,14:33:45,066570,LG전자,237000.0,16390,0.5365,256000,233000,266500,217000,272390,233390,-1299.2,154.7,220610.0,1,1,-531.8,1797.2,0
2026-05-18,11:16:27,005930,삼성전자,286500.0,19435,0.4902,269500,262000,288500,270500,288935,289935,-84.3,-118.5,267065.0,1,0,193.3,-37.0,0
