score,outcome,period,bucket,n,n_days,n_tickers,mean_bp,median_bp,win_rate,mean_net_bp,win_rate_net,se_cluster,t_vs0,p_vs0
mf_rank,ret_bo_live_bp,all,NA,267,36,,56.71,15.95,0.5169,28.71,0.4944,67.5,0.84,0.4065
mf_rank,ret_bo_live_bp,prior,Q1,104,21,,65.52,9.24,0.5288,37.52,0.4615,51.32,1.28,0.2163
mf_rank,ret_bo_live_bp,prior,Q2,77,20,,1.87,19.84,0.5455,-26.13,0.4675,78.29,0.02,0.9812
mf_rank,ret_bo_live_bp,prior,Q3,77,20,,-37.02,-29.9,0.4805,-65.02,0.4156,54.3,-0.68,0.5036
mf_rank,ret_bo_live_bp,prior,Q4,109,19,,-23.81,-47.74,0.3853,-51.81,0.367,62.37,-0.38,0.7071
mf_rank,ret_bo_live_bp,prior,NA,170,23,,-47.8,-73.18,0.4471,-75.8,0.4294,92.71,-0.52,0.6113
mf_rank,ret_bo_live_bp,new,Q1,44,12,,1.97,27.91,0.5455,-26.03,0.5,54.84,0.04,0.972
mf_rank,ret_bo_live_bp,new,Q2,56,13,,76.05,36.12,0.5714,48.05,0.5357,62.47,1.22,0.2469
mf_rank,ret_bo_live_bp,new,Q3,65,13,,69.07,10.55,0.5385,41.07,0.4462,65.37,1.06,0.3115
mf_rank,ret_bo_live_bp,new,Q4,39,11,,-83.63,-80.42,0.4872,-111.63,0.4872,97.91,-0.85,0.4131
mf_rank,ret_bo_live_bp,new,NA,97,13,,239.88,154.7,0.6392,211.88,0.6082,63.49,3.78,0.0026
mf_rank,ret_bo_live_stoplb_bp,all,Q1,148,33,,51.3,16.7,0.5338,23.3,0.473,39.22,1.31,0.2002
mf_rank,ret_bo_live_stoplb_bp,all,Q2,133,33,,51.58,26.48,0.5564,23.58,0.4962,45.39,1.14,0.2642
mf_rank,ret_bo_live_stoplb_bp,all,Q3,142,33,,22.79,1.26,0.507,-5.21,0.4296,39.96,0.57,0.5725
mf_rank,ret_bo_live_stoplb_bp,all,Q4,148,30,,5.69,-53.04,0.4122,-22.31,0.3986,44.03,0.13,0.8981
mf_rank,ret_bo_live_stoplb_bp,all,NA,267,36,,156.35,15.95,0.5169,128.35,0.4944,49.3,3.17,0.0031
mf_rank,ret_bo_live_stoplb_bp,prior,Q1,104,21,,67.54,9.24,0.5288,39.54,0.4615,51.43,1.31,0.2039
mf_rank,ret_bo_live_stoplb_bp,prior,Q2,77,20,,33.21,19.84,0.5455,5.21,0.4675,67.01,0.5,0.6259
mf_rank,ret_bo_live_stoplb_bp,prior,Q3,77,20,,-20.94,-29.9,0.4805,-48.94,0.4156,51.76,-0.4,0.6903
mf_rank,ret_bo_live_stoplb_bp,prior,Q4,109,19,,16.21,-47.74,0.3853,-11.79,0.367,51.46,0.31,0.7564
mf_rank,ret_bo_live_stoplb_bp,prior,NA,170,23,,82.96,-73.18,0.4471,54.96,0.4294,65.46,1.27,0.2183
mf_rank,ret_bo_live_stoplb_bp,new,Q1,44,12,,12.92,27.91,0.5455,-15.08,0.5,49.58,0.26,0.7992
mf_rank,ret_bo_live_stoplb_bp,new,Q2,56,13,,76.84,36.12,0.5714,48.84,0.5357,62.08,1.24,0.2394
mf_rank,ret_bo_live_stoplb_bp,new,Q3,65,13,,74.59,10.55,0.5385,46.59,0.4462,63.41,1.18,0.2622
mf_rank,ret_bo_live_stoplb_bp,new,Q4,39,11,,-23.72,-80.42,0.4872,-51.72,0.4872,84.7,-0.28,0.7852
mf_rank,ret_bo_live_stoplb_bp,new,NA,97,13,,284.97,154.7,0.6392,256.97,0.6082,56.81,5.02,0.0003
mf_rank,ret_bo_live_stopub_bp,all,Q1,148,33,,-209.19,-500.0,0.2838,-237.19,0.2568,54.48,-3.84,0.0005
mf_rank,ret_bo_live_stopub_bp,all,Q2,133,33,,-111.44,-95.49,0.3759,-139.44,0.3534,44.21,-2.52,0.0169
mf_rank,ret_bo_live_stopub_bp,all,Q3,142,33,,-187.25,-338.59,0.338,-215.25,0.2746,36.88,-5.08,0.0
mf_rank,ret_bo_live_stopub_bp,all,Q4,148,30,,-294.82,-500.0,0.1757,-322.82,0.1689,50.43,-5.85,0.0
mf_rank,ret_bo_live_stopub_bp,all,NA,267,36,,-306.01,-500.0,0.1498,-334.01,0.1423,32.42,-9.44,0.0
mf_rank,ret_bo_live_stopub_bp,prior,Q1,104,21,,-220.27,-500.0,0.25,-248.27,0.2308,75.58,-2.91,0.0086
mf_rank,ret_bo_live_stopub_bp,prior,Q2,77,20,,-117.8,-149.82,0.3766,-145.8,0.3377,66.63,-1.77,0.0931
mf_rank,ret_bo_live_stopub_bp,prior,Q3,77,20,,-221.89,-500.0,0.3117,-249.89,0.2727,40.21,-5.52,0.0
mf_rank,ret_bo_live_stopub_bp,prior,Q4,109,19,,-338.55,-500.0,0.1101,-366.55,0.1009,54.1,-6.26,0.0
mf_rank,ret_bo_live_stopub_bp,prior,NA,170,23,,-321.12,-500.0,0.1118,-349.12,0.1118,46.52,-6.9,0.0
mf_rank,ret_bo_live_stopub_bp,new,Q1,44,12,,-182.99,-430.59,0.3636,-210.99,0.3182,50.24,-3.64,0.0039
mf_rank,ret_bo_live_stopub_bp,new,Q2,56,13,,-102.7,-80.28,0.375,-130.7,0.375,55.43,-1.85,0.0886
mf_rank,ret_bo_live_stopub_bp,new,Q3,65,13,,-146.21,-161.97,0.3692,-174.21,0.2769,65.82,-2.22,0.0463
mf_rank,ret_bo_live_stopub_bp,new,Q4,39,11,,-172.62,-500.0,0.359,-200.62,0.359,102.79,-1.68,0.124
mf_rank,ret_bo_live_stopub_bp,new,NA,97,13,,-279.52,-500.0,0.2165,-307.52,0.1959,38.26,-7.31,0.0
rs,ret_oc_bp,all,Q1,347,23,,141.84,62.57,0.5706,113.84,0.5331,58.48,2.43,0.024
rs,ret_oc_bp,all,Q2,347,23,,140.38,66.96,0.5533,112.38,0.5389,36.46,3.85,0.0009
rs,ret_oc_bp,all,Q3,347,23,,153.92,84.62,0.5677,125.92,0.5331,39.72,3.88,0.0008
rs,ret_oc_bp,all,Q4,347,23,,196.84,142.45,0.6081,168.84,0.585,45.7,4.31,0.0003
rs,ret_oc_bp,all,NA,896,35,,-63.75,-76.4,0.4408,-91.75,0.4174,103.24,-0.62,0.541
rs,ret_oc_bp,prior,Q1,117,10,,350.63,195.2,0.6068,322.63,0.5897,97.75,3.59,0.0059
rs,ret_oc_bp,prior,Q2,142,10,,224.34,150.3,0.6408,196.34,0.6338,59.97,3.74,0.0046
rs,ret_oc_bp,prior,Q3,191,10,,174.75,109.89,0.6021,146.75,0.5759,39.77,4.39,0.0017
rs,ret_oc_bp,prior,Q4,171,10,,232.08,160.82,0.6374,204.08,0.6199,53.13,4.37,0.0018
rs,ret_oc_bp,prior,NA,866,23,,-79.37,-86.08,0.4307,-107.37,0.4065,107.25,-0.74,0.4671
rs,ret_oc_bp,new,Q1,230,13,,35.63,30.8,0.5522,7.63,0.5043,44.18,0.81,0.4357
rs,ret_oc_bp,new,Q2,205,13,,82.22,0.0,0.4927,54.22,0.4732,38.93,2.11,0.0563
rs,ret_oc_bp,new,Q3,156,13,,128.41,17.18,0.5256,100.41,0.4808,76.18,1.69,0.1177
rs,ret_oc_bp,new,Q4,176,13,,162.61,114.58,0.5795,134.61,0.5511,74.5,2.18,0.0497
rs,ret_oc_bp,new,NA,30,12,,386.95,355.57,0.7333,358.95,0.7333,158.27,2.44,0.0325
rs,ret_bo_simple_bp,all,Q1,71,21,,-17.07,-12.95,0.4789,-45.07,0.4507,51.79,-0.33,0.7452
rs,ret_bo_simple_bp,all,Q2,57,22,,34.12,36.12,0.5263,6.12,0.5263,61.94,0.55,0.5875
rs,ret_bo_simple_bp,all,Q3,58,19,,64.51,-7.61,0.4828,36.51,0.4138,53.81,1.2,0.2461
rs,ret_bo_simple_bp,all,Q4,72,20,,76.69,-61.46,0.4444,48.69,0.4306,72.95,1.05,0.3063
rs,ret_bo_simple_bp,all,NA,90,22,,-53.19,44.63,0.5556,-81.19,0.5333,127.41,-0.42,0.6806
